name,population
Aguascalientes,1312544
Baja California,3315766
Baja California Sur,712029
Campeche,899931
Chiapas,5217908
Chihuahua,3556574
Ciudad de México,8918653
Coahuila,2954915
Colima,711235
Durango,1754754
Estado de México,16187608
Guanajuato,5853677
Guerrero,3533251
Hidalgo,2858359
Jalisco,7844830
Michoacán,4584471
Morelos,1903811
Nayarit,1181050
Nuevo León,5119504
Oaxaca,3967889
Puebla,6168883
Querétaro,2038372
Quintana Roo,1501562
San Luis Potosí,2717820
Sinaloa,2966321
Sonora,2850330
Tabasco,2395272
Tamaulipas,3441698
Tlaxcala,1272847
Veracruz,8112505
Yucatán,2097175
Zacatecas,1579209
