Estado,Confirmados totales,Confirmados nuevos,Confirmados / 100 mil hab.,Defunciones,Defunciones nuevas,Sospechosos totales,Negativos totales
Aguascalientes,65,0,4.952214935270741,1,0,83,737
Baja California,464,52,13.993749860514885,28,0,690,785
Baja California Sur,165,1,23.173213450575748,6,1,259,488
Campeche,43,10,4.778144102158944,2,0,36,103
Chiapas,48,3,0.9199088983554329,3,0,71,245
Chihuahua,83,14,2.3337065389332543,20,4,207,224
Ciudad de México,1686,130,18.904199995223493,99,7,2364,4921
Coahuila,195,1,6.599174595546741,12,0,946,984
Colima,7,0,0.9842035332906846,0,0,32,92
Durango,16,1,0.9118087207665576,4,1,97,250
Estado de México,659,57,4.071015309982797,43,8,1044,1860
Guanajuato,91,1,1.554578429933869,5,0,186,1565
Guerrero,97,9,2.745346990632706,8,2,125,306
Hidalgo,64,0,2.239046949665875,12,2,42,386
Jalisco,176,11,2.243515793203932,11,0,565,2438
Michoacán,70,3,1.5268937244886052,12,1,189,484
Morelos,56,3,2.941468454589242,10,1,85,281
Nayarit,27,2,2.286101350493205,5,1,43,161
Nuevo León,150,14,2.929971340973657,5,0,2015,1806
Oaxaca,50,4,1.2601158953791298,5,0,62,342
Puebla,291,15,4.717223523286144,31,4,347,788
Querétaro,69,4,3.3850543472928396,5,1,82,428
Quintana Roo,269,24,17.914678181786698,27,2,182,417
San Luis Potosí,56,1,2.060474939473549,4,0,129,832
Sinaloa,292,31,9.843843602900698,38,4,325,716
Sonora,78,5,2.73652524444538,9,0,158,490
Tabasco,210,15,8.76727152490406,21,2,365,511
Tamaulipas,60,5,1.7433255329200876,4,1,216,484
Tlaxcala,58,7,4.556714200528422,4,0,95,365
Veracruz,106,12,1.306624772496288,6,1,437,879
Yucatán,128,12,6.103448686924076,7,0,163,522
Zacatecas,18,1,1.139811133295213,2,0,77,248
