Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Chiapas,Chihuahua,Ciudad De México,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán
2020-02-27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-19,5,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-23,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2020-03-24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,4,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,11,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
2020-03-27,9,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2020-03-28,12,0,1,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2020-03-29,11,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2020-03-30,10,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2020-03-31,11,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2020-04-01,16,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,3
2020-04-02,8,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-04-03,10,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
2020-04-04,9,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2020-04-05,19,0,0,0,0,0,0,0,4,1,1,0,0,1,0,1,0,0,2,0,0,2,0,2,0,2,0,1,0,2
2020-04-06,30,0,10,0,0,0,0,1,6,0,0,0,0,2,1,0,0,0,0,2,0,3,0,1,0,2,0,1,0,1
2020-04-07,19,0,1,0,0,0,0,1,5,0,1,0,0,1,1,2,1,1,0,0,0,2,0,1,0,1,0,0,1,0
2020-04-08,15,0,0,0,0,1,0,0,5,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0
2020-04-09,12,0,0,0,0,1,1,0,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0
2020-04-10,19,0,1,0,0,1,0,0,7,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0,1,1,0
2020-04-11,17,0,0,0,1,0,0,4,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,1,0,1,1
2020-04-12,14,0,0,0,0,0,0,3,2,1,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,0
2020-04-13,15,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2
2020-04-14,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2020-04-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
